kmeans_cluster,datetime_hour,svr1,upload_bitrate_mbps,download_bitrate_mbps,target_latency,target_throughput,latency_lag_1h,throughput_lag_1h,latency_rolling_3h,throughput_rolling_3h,latency_rolling_6h,throughput_rolling_6h,hour_sin,hour_cos,dow_sin,dow_cos,hour_of_day,day_of_week,zone_count
0,2022-07-03 19:00:00,48.95446182152714,11.713696682464455,15.449789473684213,68.08908864767074,26.18942857142857,69.98306451612903,27.33466228893058,69.98306451612903,27.33466228893058,69.98306451612903,27.33466228893058,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,19,6,15
0,2022-07-03 20:00:00,40.72360530842959,12.843374494410245,14.37666944884585,51.14852703711927,25.929617981018872,40.98523588402197,25.895755801999535,43.43501344200174,25.316654665671365,43.43501344200174,25.316654665671365,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,20,6,12
0,2022-07-03 21:00:00,42.113066196631415,11.494579231129865,13.520029091660923,64.07514666715203,23.444086893603085,45.110814491685105,27.673958027447718,49.22860564826555,25.337292886501412,49.22860564826555,25.337292886501412,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,21,6,12
0,2022-07-03 22:00:00,47.23794671864847,10.096153846153847,14.442312121212122,56.73869047619048,24.178217753120663,57.09253865303984,26.450478100066487,54.99057356355183,25.839739507848982,54.133202185949905,25.8319886932076,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,22,6,28
0,2022-07-03 23:00:00,36.82145098039216,11.497302904564314,13.503333333333332,69.45112359550562,26.266078055245536,52.723958333333336,25.68059079861111,53.37318633005998,25.70970778443114,52.86545269423559,25.70970778443114,-0.2588190451025215,0.965925826289068,-0.7818314824680299,0.6234898018587334,23,6,37
0,2022-07-04 00:00:00,117.86296760317563,7.749189540423378,11.944172812793141,87.119260989011,23.419822305974314,63.68398589858985,27.24718655513299,91.1675958047721,22.08491892318769,86.15349489604704,23.80545147336241,0.0,1.0,0.0,1.0,0,0,10
0,2022-07-04 01:00:00,97.39595032553655,12.181762951507787,12.537335277665791,49.738776676048396,27.690456673565436,77.29274234433046,20.293830558125194,83.58678280167129,22.908640045999377,62.29434958786891,22.72665642832023,0.2588190451025207,0.9659258262890684,0.0,1.0,1,0,10
0,2022-07-04 02:00:00,53.31666666666667,10.9375,13.684305513822116,83.45431547619049,32.518686730506154,69.98306451612903,24.407864077669903,69.51165843396866,24.36938557627578,69.14068671879768,24.36938557627578,0.4999999999999999,0.8660254037844387,0.0,1.0,2,0,31
0,2022-07-04 03:00:00,67.79167140189949,12.215343853949099,22.803381433682,50.59848787878788,21.599266666666665,63.39881810897436,24.831135760913916,74.30238928673208,29.45361644282336,76.13740458026052,29.341212697134104,0.7071067811865476,0.7071067811865476,0.0,1.0,3,0,38
0,2022-07-04 04:00:00,47.3025641025641,0.0,0.0,61.63488493723849,25.87187782527516,94.38529411764704,37.8219018404908,79.94833020637898,21.65239064537158,69.00238369670335,22.482868565773664,0.8660254037844386,0.5000000000000001,0.0,1.0,4,0,13
0,2022-07-04 19:00:00,42.8392,10.892367149758453,14.791764705882352,68.1819105691057,27.828404840484048,51.46973684210526,20.35892620278777,68.2688576283962,22.88344516810981,61.51683062901952,23.58034176878014,-0.9659258262890684,0.2588190451025203,0.0,1.0,19,0,25
0,2022-07-04 20:00:00,40.30605007664793,11.15253125,10.26573412202456,50.693530912774165,24.86965381804896,55.732710204081634,24.561384116378548,61.34968788787826,23.646364883649134,64.35032437952151,23.695762442723456,-0.8660254037844386,0.5000000000000001,0.0,1.0,20,0,16
0,2022-07-04 21:00:00,43.19378571428572,12.117292025243833,14.477282635004302,57.90743887530562,25.54306880457261,54.07498786407767,24.3659428359317,60.59337775741364,24.285930105825308,64.62494302417197,22.91374871618188,-0.7071067811865477,0.7071067811865474,0.0,1.0,21,0,13
0,2022-07-04 22:00:00,47.50176385136117,10.749914782814535,13.280363555735448,61.84575,23.294322185104164,61.65591486594637,28.067690315198696,63.984122952524345,24.561384998136823,63.40809573411761,25.315269998173335,-0.5000000000000004,0.8660254037844384,0.0,1.0,22,0,38
0,2022-07-04 23:00:00,43.42471264367816,10.218374699759808,12.7252,62.68360655737705,28.64197424892704,62.12272727272728,22.91134110787172,64.4808064516129,24.65821908923457,63.99482115060937,23.92931868225872,-0.2588190451025215,0.965925826289068,0.0,1.0,23,0,41
0,2022-07-05 00:00:00,40.53957055214724,10.555263157894736,12.739999999999998,62.999871794871794,27.70610586431962,59.94307228915663,24.76621212121212,58.107958402865904,24.70053831393402,53.53907683093371,24.45128753753754,0.0,1.0,0.7818314824680298,0.6234898018587336,0,1,25
0,2022-07-05 01:00:00,32.901968523002424,10.207189152311104,15.127908107553804,47.99220410935642,29.635695199516753,45.74962958675773,27.09686453773714,57.712008605357795,25.895195855660333,57.24713598614618,24.773898619667662,0.2588190451025207,0.9659258262890684,0.7818314824680298,0.6234898018587336,1,1,26
0,2022-07-05 02:00:00,51.54953815261044,10.709756140569247,20.571181890880013,66.76375412541253,36.30696205733558,58.41513253638254,24.9285187007874,62.53605748248681,26.821571119582757,68.32186989429559,25.809438536468797,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,2,1,44
0,2022-07-05 03:00:00,63.38217821782179,7.986170212765958,35.55,49.17215639810427,27.417356321839083,67.8384375,31.52854430379747,65.2100571499936,37.64020210050042,75.1014558442898,30.53305693922475,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,3,1,29
0,2022-07-05 04:00:00,35.38179218303146,4.1084382871536524,13.88497061293031,45.44302734375,99.25257142857144,61.70084905660377,0.0,47.90980625539179,15.273937913522673,58.01686946241401,34.3673243412454,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,4,1,1
0,2022-07-05 05:00:00,41.453125,20.60535211267605,78.56,46.537091280653954,31.06765269461078,40.691110581506194,17.993408900083963,49.27832899395332,39.08199344288513,56.53076307009327,45.50722659688449,0.9659258262890684,0.2588190451025207,0.7818314824680298,0.6234898018587336,5,1,1
0,2022-07-05 19:00:00,40.152232142857144,11.592674863387977,20.350716300056398,49.81780072062084,38.488285472972976,46.206858499461205,37.648790760869566,45.59721636190457,36.64318748129212,47.178201970443354,34.28445982709292,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,19,1,24
0,2022-07-05 20:00:00,41.74126984126984,11.8975,19.566012015427216,63.8393784786642,27.81,48.7296875,31.16917657238924,55.33091253698225,32.4596551724138,55.33091253698225,31.887222222222224,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,20,1,41
0,2022-07-05 21:00:00,51.2530534351145,9.793190376569038,11.993651877133106,69.42474890144382,25.9667572647486,68.50507936507937,23.834866628339213,61.44278233096859,24.441469525642376,61.44278233096859,24.441469525642376,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,21,1,15
0,2022-07-05 22:00:00,38.59683357879234,10.201439789037199,14.03931796387613,61.67846858032355,23.97550940489831,67.23636350041254,27.397757072763333,65.16205280599719,26.684727078011996,65.14391277131574,26.113372884296304,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,22,1,36
0,2022-07-05 23:00:00,41.940000000000005,10.774451939291737,15.04868243018617,67.62034609334033,30.404347826086955,55.93452380952381,25.514926174496644,58.372043178881846,26.485559888200573,59.19984119274554,27.04303592046832,-0.2588190451025215,0.965925826289068,0.7818314824680298,0.6234898018587336,23,1,51
0,2022-07-06 00:00:00,40.00625,13.432432432432432,16.395614035087718,53.40214007782102,29.267857142857142,68.52957436399218,25.477235294117644,67.91413200209838,28.934205607476635,68.28595328841038,29.896865353037768,0.0,1.0,0.9749279121818236,-0.2225209339563143,0,2,37
0,2022-07-06 01:00:00,41.39568965517241,13.324728260869565,15.48123552123552,84.7875,33.3284276126558,65.26431790865385,25.258243243243243,65.49672739052566,28.73721934590391,66.29545454545455,28.73721934590391,0.2588190451025207,0.9659258262890684,0.9749279121818236,-0.2225209339563143,1,2,19
0,2022-07-06 02:00:00,49.840569463869464,11.300806950509461,14.600364064618475,45.62644172705314,32.181177002427184,53.66432277481207,28.727403846153845,62.754556258049554,27.43910609769065,64.39964875524426,29.895039690278935,0.4999999999999999,0.8660254037844387,0.9749279121818236,-0.2225209339563143,2,2,42
0,2022-07-06 03:00:00,55.764820846905536,11.966216216216216,24.476530612244897,65.00278350515464,32.675466666666665,56.70217391304348,32.43151515151515,65.13336650368812,32.29391463234796,71.42185239590563,31.97549051731169,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.2225209339563143,3,2,39
