square_id,datetime_hour,observation_hour,hour_of_day,day_of_week,date,latitude,longitude,speed,svr1,svr3,upload_bitrate_mbps,download_bitrate_mbps,latency_lag_1h,throughput_lag_1h,latency_lag_2h,throughput_lag_2h,latency_lag_3h,throughput_lag_3h,latency_rolling_3h,throughput_rolling_3h,latency_rolling_6h,throughput_rolling_6h,hour_sin,hour_cos,dow_sin,dow_cos,target_latency,target_throughput
square_103079215126,2022-07-05 23:00:00,127,23,1,2022-07-05,-37.72859312598425,144.74955677165354,44.74693029921259,87.30803571428571,85.64553571428571,8.866666666666665,19.651739130434784,91.39687500000001,28.518405797101448,91.39687500000001,28.518405797101448,91.39687500000001,28.518405797101448,91.39687500000001,28.518405797101448,91.39687500000001,28.518405797101448,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,78.0093023255814,41.68135135135135
square_103079215126,2022-07-06 00:00:00,148,0,2,2022-07-06,-37.728938189189186,144.74962029054052,39.53802264864864,41.38062015503876,168.63565891472868,15.962837837837839,25.718513513513514,91.39687500000001,28.518405797101448,91.39687500000001,28.518405797101448,91.39687500000001,28.518405797101448,84.7030886627907,35.0998785742264,84.7030886627907,35.0998785742264,0.0,1.0,0.9749279121818236,-0.22252093395631434,53.01875,8.285714285714286
square_103079215126,2022-07-06 03:00:00,7,3,2,2022-07-06,-37.72883314285714,144.74983671428572,25.31631085714286,16.1,143.0,0.0,8.285714285714286,78.0093023255814,41.68135135135135,91.39687500000001,28.518405797101448,91.39687500000001,28.518405797101448,74.14164244186047,26.16182381138903,74.14164244186047,26.16182381138903,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,51.76381578947369,45.060674157303374
square_103079215126,2022-07-13 00:00:00,89,0,2,2022-07-13,-37.729036662921345,144.74954739325844,33.90568768539326,48.17763157894737,46.86842105263158,14.393258426966293,30.66741573033708,53.01875,8.285714285714286,78.0093023255814,41.68135135135135,91.39687500000001,28.518405797101448,60.93062270501836,31.67591326478967,68.54718577876378,30.886536397867616,0.0,1.0,0.9749279121818236,-0.22252093395631434,216.40121951219513,49.889799999999994
square_103079215126,2022-07-13 02:00:00,50,2,2,2022-07-13,-37.72845296,144.74981424,52.047682,214.1268292682927,213.56341463414634,8.61,41.279799999999994,51.76381578947369,45.060674157303374,53.01875,8.285714285714286,78.0093023255814,41.68135135135135,107.06126176722294,34.412062814339215,98.11799252545003,34.687189118294086,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,140.68623188405797,31.59190476190476
square_103079215126,2022-07-13 23:00:00,84,23,2,2022-07-13,-37.72911504761905,144.74959057142857,32.75365623809524,136.23043478260868,135.90434782608696,4.5,27.09190476190476,216.40121951219513,49.889799999999994,51.76381578947369,45.060674157303374,53.01875,8.285714285714286,136.28375572857558,42.18079297306937,105.21269908521803,34.1713083922292,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,82.02107142857143,24.408518518518516
square_103079215126,2022-07-20 00:00:00,81,0,2,2022-07-20,-37.72889654320988,144.74961001234567,37.496163604938275,76.19714285714286,75.56285714285714,14.907407407407407,9.501111111111111,140.68623188405797,31.59190476190476,216.40121951219513,49.889799999999994,51.76381578947369,45.060674157303374,146.36950760827486,35.296741093474424,103.65006515664659,33.48632717913205,0.0,1.0,0.9749279121818236,-0.22252093395631434,72.93666666666667,7.078703703703703
square_103079215126,2022-07-20 01:00:00,54,1,2,2022-07-20,-37.72992983333333,144.74967727777778,30.208006296296297,35.45333333333333,161.77777777777777,0.0,7.078703703703703,82.02107142857143,24.408518518518516,140.68623188405797,31.59190476190476,216.40121951219513,49.889799999999994,98.54798999309868,21.02637566137566,102.80462588016081,27.71921923785744,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,152.7625,57.63132075471698
square_103079215128,2022-07-06 02:00:00,21,2,2,2022-07-06,-37.72513576190476,144.76024566666666,35.69685904761905,271.90000000000003,279.6705882352941,3.5,19.76238095238095,0.0,0.0,0.0,0.0,0.0,0.0,282.77647058823527,23.26238095238095,282.77647058823527,23.26238095238095,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,127.38392857142857,29.9741935483871
square_103079215130,2022-07-05 20:00:00,47,20,1,2022-07-05,-37.72574031914893,144.768072,20.490291574468085,57.64146341463415,55.74634146341463,11.439361702127659,37.791489361702126,62.40914634146342,49.23085106382978,62.40914634146342,49.23085106382978,62.40914634146342,49.23085106382978,62.40914634146342,49.23085106382978,62.40914634146342,49.23085106382978,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,288.4125,14.111666666666666
square_103079215130,2022-07-05 23:00:00,12,23,1,2022-07-05,-37.72513816666667,144.76828616666668,29.349107,281.39,283.34000000000003,2.625,11.486666666666666,62.40914634146342,49.23085106382978,62.40914634146342,49.23085106382978,62.40914634146342,49.23085106382978,175.41082317073173,31.671258865248223,175.41082317073173,31.671258865248223,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,408.52369614512475,26.245799844582596
square_103079215130,2022-07-06 01:00:00,563,1,2,2022-07-06,-37.72499331971581,144.76708523445825,4.754037946714032,403.17437641723353,402.7922902494331,3.2451154529307282,23.000684391651866,288.4125,14.111666666666666,62.40914634146342,49.23085106382978,62.40914634146342,49.23085106382978,253.11511416219605,29.862772525026347,253.11511416219605,29.862772525026347,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,288.8245481927711,15.275904193085749
square_103079215130,2022-07-06 02:00:00,207,2,2,2022-07-06,-37.72560206280193,144.766775647343,26.00197263768116,283.02590361445783,283.03433734939756,3.1449275362318843,12.130976656853864,408.52369614512475,26.245799844582596,288.4125,14.111666666666666,62.40914634146342,49.23085106382978,328.58691477929864,18.544456901445006,262.0424726698398,26.2160554420412,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,100.68055555555556,24.242857142857144
square_103079215130,2022-07-13 23:00:00,42,23,2,2022-07-13,-37.72568352380953,144.7658094047619,48.31621066666667,97.34166666666667,93.96388888888889,5.75,18.492857142857144,288.8245481927711,15.275904193085749,408.52369614512475,26.245799844582596,288.4125,14.111666666666666,266.0095999644838,21.921520393508498,229.770089246983,25.82141578220439,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,247.024106400665,19.76463054187192
square_103079215130,2022-07-14 20:00:00,1421,20,3,2022-07-14,-37.72896391414497,144.76672206755805,5.216984948627727,243.06259351620946,241.09434746467164,10.492610837438423,9.272019704433498,100.68055555555556,24.242857142857144,288.8245481927711,15.275904193085749,408.52369614512475,26.245799844582596,212.17640338299722,19.761130625938268,232.64575877259665,24.81195157548231,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,189.94757160647572,23.8571914893617
square_103079215130,2022-07-14 21:00:00,940,21,3,2022-07-14,-37.72695077446808,144.7667400393617,4.784326765957447,185.99003735990038,184.6576587795766,11.326595744680851,12.530595744680852,247.024106400665,19.76463054187192,100.68055555555556,24.242857142857144,288.8245481927711,15.275904193085749,179.2174111875654,22.62155972469692,253.90216298343202,20.583008313070962,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,357.49073842302874,25.439042728118583
square_103079215130,2022-07-14 23:00:00,974,23,3,2022-07-14,-37.7288343449692,144.76482067248457,7.641175166324435,352.83942428035044,352.2304130162703,7.201232032854209,18.237810695264372,189.94757160647572,23.8571914893617,247.024106400665,19.76463054187192,100.68055555555556,24.242857142857144,264.82080547672314,23.0202882531174,265.4152027206035,22.470904323312947,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,273.96353410740204,27.316441495778047
square_103079215130,2022-07-15 00:00:00,829,0,4,2022-07-15,-37.728987012062724,144.76592080337758,8.420796024125453,269.2579100145138,268.7724238026125,9.486731001206273,17.829710494571774,357.49073842302874,25.439042728118583,189.94757160647572,23.8571914893617,247.024106400665,19.76463054187192,273.80061471230215,25.53755857108611,242.9885090476497,22.64934459851219,0.0,1.0,-0.433883739117558,-0.9009688679024191,368.10843373493975,13.538105263157894
